title,platform,genre,rating
Garfield Kart: Furious Racing,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Comic Mischief,Everyone
Pokémon Sword,Nintendo Switch,"Comic Mischief, Mild Cartoon Violence",Everyone
Jumanji The Video Game,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One",Violence,Teen
Astroneer,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",Mild Fantasy Violence,Everyone
Atelier Ayesha: The Alchemist of Dusk DX,Windows PC,"Fantasy Violence, Suggestive Themes, Use of Alcohol and Tobacco",Teen
Atelier Shallie: Alchemists of the Dusk Sea DX,Windows PC,"Fantasy Violence, Mild Language, Partial Nudity",Teen
Street Fighter V: Champion Edition,"Windows PC, PlayStation 4","Mild Blood, Mild Language, Suggestive Themes, Violence",Teen
Warcraft III: Reforged,"Macintosh, Windows PC","Blood and Gore, Crude Humor, Mild Language, Mild Suggestive Themes, Use of Alcohol and Tobacco, Violence",Teen
The friends of Ringo Ishikawa,Nintendo Switch,"Mild Violence, Strong Language, Suggestive Themes, Use of Alcohol",Mature 17+
Tokyo Mirage Sessions #FE Encore,Nintendo Switch,"Fantasy Violence, Language, Suggestive Themes, Use of Alcohol",Teen
Death Stranding,Windows PC,"Blood, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Fortnite: Darkfire Bundle,"PlayStation 4, Xbox One",Violence,Teen
Gears Tactics,Windows PC,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Fallout 76 Wastelanders,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes, Use of Alcohol",Mature 17+
Ministry of Broadcast,Nintendo Switch,"Blood, Strong Language, Suggestive Themes, Violence",Mature 17+
Sakura Wars,PlayStation 4,"Blood, Language, Partial Nudity, Sexual Themes, Violence",Teen
SENRAN KAGURA Reflexions,Windows PC,Sexual Themes,Mature 17+
Oddworld: Stranger's Wrath,Nintendo Switch,"Crude Humor, Language, Mild Blood, Violence",Teen
Darksiders Genesis,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Blood and Gore, Language, Violence",Teen
Pokémon™ Mystery Dungeon: Rescue Team DX,Nintendo Switch,Mild Cartoon Violence,Everyone
Fast & Furious: Crossroads,"Windows PC, PlayStation 4, Xbox One","Language, Mild Suggestive Themes, Violence",Teen
ROBOTICS;NOTES ELITE,"PlayStation 4, Nintendo Switch","Blood, Language, Sexual Themes, Violence",Teen
Void Bastards,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Strong Language, Violence",Mature 17+
Zombie Army Trilogy,Nintendo Switch,"Blood and Gore, Intense Violence, Use of Alcohol",Mature 17+
Lost Words: Beyond the Page,"Windows PC, Stadia, Nintendo Switch","Mild Fantasy Violence, Mild Language",Everyone
Cat Quest II,"PlayStation 4, Nintendo Switch",Fantasy Violence,Everyone 10+
DOOM 64,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Blood and Gore, Violence",Mature 17+
SAMURAI SHODOWN NEOGEO COLLECTION,"PlayStation 4, Nintendo Switch","Blood and Gore, Partial Nudity, Use of Tobacco, Violence",Teen
Megadimension Neptunia VII,Nintendo Switch,"Fantasy Violence, Language, Partial Nudity, Suggestive Themes",Teen
CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS,"Windows PC, PlayStation 4, Nintendo Switch","Mild Blood, Mild Language, Mild Violence",Everyone 10+
The MISSING: J.J. Macfield and the Island of Memories,"PlayStation 4, Nintendo Switch","Blood and Gore, Strong Language, Violence",Mature 17+
Budget Cuts,"Windows PC, PlayStation 4","Fantasy Violence, Mild Blood",Teen
Little Town Hero,"PlayStation 4, Nintendo Switch","Fantasy Violence, Mild Suggestive Themes, Use of Alcohol and Tobacco",Everyone 10+
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Cartoon Violence, Comic Mischief",Everyone 10+
Kandagawa Jet Girls,PlayStation 4,"Fantasy Violence, Language, Suggestive Themes",Teen
The Elder Scrolls Online: Greymoor,"Macintosh, Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Sexual Themes, Use of Alcohol, Violence",Mature 17+
Embr,"Macintosh, Windows PC, Stadia","Alcohol Reference, Comic Mischief, Mild Violence",Everyone 10+
Blaster Master Zero 2,"Windows PC, PlayStation 4, Nintendo Switch","Mild Fantasy Violence, Mild Language, Mild Suggestive Themes",Everyone 10+
Skater XL,"PlayStation 4, Xbox One",Mild Blood,Everyone
Inertial Drift,"PlayStation 4, Nintendo Switch",No Descriptors,Everyone
Command & Conquer™ Remastered Collection,Windows PC,"Blood, Mild Language, Use of Alcohol and Tobacco, Violence",Teen
NAMCO MUSEUM ARCHIVES Vol. 1,Windows PC,"Animated Blood, Comic Mischief, Fantasy Violence, Mild Language, Use of Tobacco",Everyone 10+
Crash Bandicoot™ 4: It’s About Time,"PlayStation 4, Xbox One","Alcohol Reference, Cartoon Violence, Comic Mischief, Language",Everyone 10+
HITMAN 2: Free Starter Pack,"Windows PC, PlayStation 4, Xbox One","Blood, Drug Reference, Intense Violence, Strong Language",Mature 17+
Röki,"Windows PC, Nintendo Switch","Animated Blood, Fantasy Violence",Everyone 10+
Maid of Sker,"PlayStation 4, Xbox One","Blood and Gore, Strong Language, Violence",Mature 17+
Telling Lies,PlayStation 4,"Drug Reference, Sexual Content, Strong Language, Violence",Mature 17+
Carrion,"PlayStation 4, Nintendo Switch","Blood and Gore, Violence",Mature 17+
NBA 2K21,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One",No Descriptors,Everyone
Sludge Life,Windows PC,"Crude Humor, Use of Drugs",Mature 17+
RIDE 4,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",No Descriptors,Everyone
World of Warcraft: Shadowlands,"Macintosh, Windows PC","Blood and Gore, Crude Humor, Mild Language, Suggestive Themes, Use of Alcohol, Violence",Teen
Stardew Valley,Nintendo Switch,"Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Alcohol and Tobacco",Everyone 10+
Shadow Tactics - Blades of the Shogun,Windows PC,"Violence, Blood and Gore",Mature 17+
Nexomon: Extinction,"PlayStation 4, Nintendo Switch","Fantasy Violence, Language",Everyone 10+
Shantae and the Seven Sirens,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Cartoon Violence, Suggestive Themes",Teen
Train Sim World®2,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",No Descriptors,Everyone
Dead Cells: Prisoner's Edition,"PlayStation 4, Nintendo Switch","Blood and Gore, Language, Violence",Teen
The Sexy Brutale,"Windows PC, Xbox One","Mild Blood, Mild Language, Use of Alcohol, Violence",Teen
Return of the Obra Dinn,"PlayStation 4, Nintendo Switch","Blood and Gore, Partial Nudity, Violence",Mature 17+
METAL SLUG XX,PlayStation 4,"Blood, Crude Humor, Violence",Teen
G.I. Joe: Operation Blackout,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One, Xbox Series X","Mild Blood, Violence",Teen
What Remains of Edith Finch,Nintendo Switch,"Blood, Drug Reference, Language, Violence",Teen
Destiny 2: Beyond Light,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood, Language, Violence",Teen
Second Extinction®,Windows PC,"Blood and Gore, Language, Violence",Mature 17+
Human Fall Flat,"PlayStation 4, Stadia, Nintendo Switch, Xbox One",No Descriptors,Everyone
WWE 2K Battlegrounds,Xbox Series X,"Cartoon Violence, Mild Suggestive Themes",Teen
Super Mario 3D All-Stars,Nintendo Switch,Mild Cartoon Violence,Everyone
Metal Gear,Windows PC,"Mild Violence, Tobacco Reference",Everyone 10+
Tom Clancy's Rainbow Six Siege,"PlayStation 5, Stadia, Xbox Series","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Peaky Blinders: Mastermind,"PlayStation 4, Nintendo Switch, Xbox One, Xbox Series","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Freedom Finger,PlayStation 4,"Blood, Drug Reference, Fantasy Violence, Mature Humor, Strong Language",Mature 17+
Scott Pilgrim vs. the World: The Game - Complete Edition,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One","Cartoon Violence, Language, Mild Blood, Partial Nudity",Teen
Hotline Miami 2: Wrong Number,"PlayStation 4, Stadia","Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs",Mature 17+
FIFA 21,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",No Descriptors,Everyone
NBA 2K21,"PlayStation 5, Xbox Series",No Descriptors,Everyone
Sackboy: A Big Adventure,PlayStation 5,"Mild Cartoon Violence, Mild Lyrics",Everyone
ROBOTICS;NOTES DaSH,"PlayStation 4, Nintendo Switch","Fantasy Violence, Mild Language, Partial Nudity, Suggestive Themes, Use of Alcohol",Teen
Mortal Shell,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Violence",Mature 17+
DOOM Eternal: The Ancient Gods - Part One,"Windows PC, Stadia, Xbox One, Xbox Series","Blood and Gore, Intense Violence",Mature 17+
Amnesia: Rebirth,"Linux, Macintosh, Windows PC","Blood and Gore, Intense Violence, Nudity, Strong Language",Mature 17+
Marvel's Spider-Man: Miles Morales,PlayStation 4,"Blood, Drug Reference, Language, Violence",Teen
ASTRO’s PLAYROOM,PlayStation 5,Fantasy Violence,Everyone 10+
Bakugan: Champions of Vestroia,Nintendo Switch,Fantasy Violence,Everyone 10+
The Sims™ 4,Xbox Series,"Crude Humor, Sexual Themes, Violence",Teen
Saviors of Sapphire Wings / Stranger of Sword City Revisited,"Windows PC, Nintendo Switch","Blood and Gore, Drug and Alcohol Reference, Mild Language, Mild Suggestive Themes, Partial Nudity, Violence",Teen
Story of a Gladiator,PlayStation 4,"Blood and Gore, Violence",Mature 17+
METAL SLUG ANTHOLOGY™,PlayStation 4,"Blood, Crude Humor, Violence",Teen
Ori and the Blind Forest,Nintendo Switch,Mild Fantasy Violence,Everyone
EA SPORTS™ FIFA 21 ÉDITION NXT LVL,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",No Descriptors,Everyone
Afterparty,"PlayStation 4, Nintendo Switch","Blood, Drug Reference, Mature Humor, Sexual Content, Strong Language, Use of Alcohol, Violence",Mature 17+
Medal of Honor Above and Beyond,Windows PC,"Blood, Strong Language, Violence",Mature 17+
Ruined King: A League of Legends Story,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Alcohol Reference, Blood, Fantasy Violence, Mild Language, Mild Suggestive Themes",Teen
West of Dead,"PlayStation 4, Nintendo Switch","Fantasy Violence, Mild Language",Teen
No More Heroes,Windows PC,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Sniper Ghost Warrior Contracts 2,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Strong Language",Mature 17+
Root Double -Before Crime * After Days- Xtend Edition,Nintendo Switch,"Blood, Strong Language, Suggestive Themes, Violence",Mature 17+
Red Dead Online,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs and Alcohol",Mature 17+
Fallout 76: Steel Dawn,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes, Use of Alcohol",Mature 17+
The End is Nigh,PlayStation 4,Strong Language,Mature 17+
Golden Force,"PlayStation 4, Nintendo Switch, Xbox One","Blood, Fantasy Violence, Strong Language",Mature 17+
FATAL FURY™ BATTLE ARCHIVES VOL.2,PlayStation 4,"Suggestive Themes, Violence",Teen
Monster Jam Steel Titans 2,"Windows PC, PlayStation 4, Stadia, Nintendo Switch, Xbox One",No Descriptors,Everyone
Gal*Gun Returns,Nintendo Switch,"Language, Sexual Themes",Mature 17+
Ape Out,Nintendo Switch,"Blood and Gore, Violence",Teen
Kingdoms of Amalur: Re-Reckoning,Nintendo Switch,"Blood and Gore, Intense Violence, Suggestive Themes",Mature 17+
Turok 2: Seeds of Evil,PlayStation 4,"Blood and Gore, Violence",Mature 17+
New Pokémon Snap,Nintendo Switch,No Descriptors,Everyone
Five Dates,PlayStation 4,"Drug Reference, Sexual Themes, Strong Language, Use of Alcohol",Mature 17+
KeyWe,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,Everyone
Root Film,"PlayStation 4, Nintendo Switch","Blood, Language, Violence",Mature 17+
Tales from the Borderlands,Nintendo Switch,"Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Plants vs. Zombies: Battle for Neighborville™ Complete Edition,Nintendo Switch,"Comic Mischief, Fantasy Violence",Everyone 10+
DOOM Eternal: The Ancient Gods - Part Two,"Windows PC, Stadia, Xbox One, Xbox Series","Blood and Gore, Intense Violence",Mature 17+
Resident Evil 7 biohazard Gold Edition,"Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Samurai Jack: Battle Through Time,"PlayStation 4, Nintendo Switch","Blood, Fantasy Violence, Mild Suggestive Themes",Teen
Miitopia,Nintendo Switch,"Crude Humor, Mild Cartoon Violence, Mild Language",Everyone
Alex Kidd in Miracle World DX,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Mild Fantasy Violence, Mild Language",Everyone
Atelier Sophie: The Alchemist of the Mysterious Book DX,"Windows PC, PlayStation 4","Fantasy Violence, Mild Language, Mild Suggestive Themes",Teen
Atelier Lydie and Suelle: The Alchemists and the Mysterious Paintings DX,"Windows PC, PlayStation 4","Fantasy Violence, Mild Suggestive Themes, Use of Alcohol",Teen
Atelier Firis: The Alchemist and the Mysterious Journey DX,"Windows PC, PlayStation 4","Fantasy Violence, Language, Partial Nudity, Use of Alcohol",Teen
Horse Club Adventure,"Windows PC, PlayStation 4, Nintendo Switch",No Descriptors,Everyone
Dungeons & Dragons: Dark Alliance,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Language, Violence",Mature 17+
Dark Alliance,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Language, Violence",Mature 17+
The Original Strife: Veteran Edition,Nintendo Switch,"Blood and Gore, Violence",Mature 17+
NINJA GAIDEN: Master Collection,"Windows PC, PlayStation 4","Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",Mature 17+
Legend of Mana,Windows PC,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Tobacco",Teen
Resident Evil Re:Verse,"PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood and Gore, Intense Violence",Mature 17+
Monster Hunter Stories 2: Wings of Ruin,Nintendo Switch,"Crude Humor, Fantasy Violence, Mild Language",Everyone 10+
GetsuFumaDen: Undying Moon,Windows PC,"Blood and Gore, Violence",Mature 17+
Infliction: Extended Cut,"PlayStation 4, PlayStation 5","Alcohol Reference, Blood and Gore, Intense Violence, Strong Language",Mature 17+
Mass Effect Legendary Edition,Xbox Series,"Blood, Drug Reference, Partial Nudity, Sexual Content, Strong Language, Use of Alcohol, Violence",Mature 17+
The Elder Scrolls Online Collection: Blackwood,"Macintosh, Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series","Blood and Gore, Sexual Themes, Use of Alcohol, Violence",Mature 17+
Apex Legends - Mirage Edition,"Windows PC, PlayStation 4, Xbox One, Xbox Series","Blood, Violence",Teen
The Last Kids On Earth and the Staff of Doom,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,Everyone 10+
Just Shapes & Beats,"PlayStation 4, Nintendo Switch","Animated Blood, Fantasy Violence",Everyone 10+
Undertale,"Xbox One, Xbox Series","Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Tobacco",Everyone 10+
Supraland,"PlayStation 4, Nintendo Switch","Crude Humor, Fantasy Violence, Mild Language",Teen
Chivalry 2,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Language, Mild Sexual Themes, Use of Alcohol",Mature 17+
Sid Meier's Civilization VI Anthology,"Macintosh, Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Drug Reference, Language, Mild Violence, Suggestive Themes",Everyone 10+
One Finger Death Punch 2,PlayStation 4,"Blood and Gore, Strong Lyrics, Violence",Mature 17+
DOOM (1993),"PlayStation 4, Nintendo Switch","Blood and Gore, Violence",Mature 17+
Disgaea 6: Defiance of Destiny,Nintendo Switch,"Alcohol Reference, Fantasy Violence, Language, Mild Blood, Suggestive Themes",Teen
Sonic Colors: Ultimate,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One, Xbox Series",Cartoon Violence,Everyone
Life is Strange Remastered,"Windows PC, Stadia, Nintendo Switch","Blood, Intense Violence, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
FINAL FANTASY IV,Windows PC,"Fantasy Violence, Language, Mild Blood, Suggestive Themes, Use of Alcohol",Everyone 10+
FINAL FANTASY II,Windows PC,"Alcohol Reference, Mild Fantasy Violence, Mild Language, Mild Suggestive Themes",Everyone 10+
FINAL FANTASY,Windows PC,"Mild Fantasy Violence, Mild Suggestive Themes",Everyone
DYNASTY WARRIORS 9: Empires,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series","Alcohol Reference, Suggestive Themes, Violence",Teen
A Plague Tale : Innocence,"PlayStation 5, Xbox Series","Blood and Gore, Strong Language, Violence",Mature 17+
Rustler,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Strong Language, Suggestive Themes, Use of Drugs, Violence",Mature 17+
Star Wars Jedi Knight: Jedi Academy,"PlayStation 4, Nintendo Switch",Violence,Teen
The Talos Principle,Nintendo Switch,"Mild Language, Mild Sexual Themes, Mild Violence",Teen
American Fugitive,"PlayStation 4, Nintendo Switch","Drug Reference, Mild Blood, Strong Language, Violence",Mature 17+
Lair of the Clockwork God,"PlayStation 4, Nintendo Switch","Blood, Crude Humor, Sexual Themes, Strong Language, Use of Alcohol, Violence",Mature 17+
.hack//G.U. Last Recode,Nintendo Switch,"Alcohol Reference, Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes",Teen
SONG OF HORROR,PlayStation 4,"Blood and Gore, Language, Violence",Mature 17+
Madden NFL 22,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series",Mild Lyrics,Everyone
Gas Guzzlers Extreme,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood and Gore, Violence",Mature 17+
Hades,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Alcohol Reference, Blood, Mild Language, Suggestive Themes, Violence",Teen
Ghostrunner,"Windows PC, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore, Intense Violence, Strong Language",Mature 17+
